id,requirement,defect,weak_word
0,A segment is adequately specified by two points.,ok,adequate
1,"In order to ensure that the severity of this test corresponds to the real requirements in the field, particular care must be taken during the test to generally simulate the installation situation of the component in the vehicle adequately in accordance with SPEC 10305-1 Draft 1: E / E Environmental Testing; Part 1: Test Specifications>.",ok,adequate
2,"In order to ensure that the severity of this test corresponds to the real requirements in the field, particular care must be taken during the test to generally simulate the installation situation of the component in the vehicle adequately in accordance with `` Environmental Testing-Part 1: Test Specifications '' [LH-2160], Chapter 5.5.",ok,adequate
3,"In order to ensure that the severity of this test corresponds to the actual requirements in the field, particular care must always be taken during the performance of this test to simulate the mounting situation of the component in the vehicle adequately in accordance with `` E / E Environmental Testing; Part 1: Test Specifications '' [LH-2160], chapter 5.5",ok,adequate
4,An adequate velocity independent cross-fading at chances of EPS_FtWhlAngl_Stat between HIGH_PRECISION and LOW_PRECISION shall be done to avoid jumps in the output signal.,ok,adequate
5,An adequate heat dissipation concept must be developed (e.g. heat dissipation via bushing).,ok,adequate
6,"The suppliers must carry out and document adequate stress tests (e.g. burn-in) for critical bought-out parts (e.g. microcontrollers, ASICs, new components).",ok,adequate
7,"The analysis proceedings shall be done by adequate state of the art analyze methods (micrographs, x-ray, etc.) and in agreemnet with the client.",ok,adequate
8,"The supplier shall propose materials, which are adequate for mechanical load and are light weighted.",ok,adequate
9,"The supplier shall propose materials, which are adequate for safety and for optical appearance.",ok,adequate
10,The Contractor shall ensure that adequate test resources are available for every market specific version of the component.,ok,adequate
11,"The contractor shall ensure that adequate test resources are available for software tests, software qualification, application tests, application qualification, creation of automatic tests, execution and analysis of automatic tests, retests and verification of bugs, and system qualification.",ok,adequate
12,"Alternatively, the contractor can propose adequate means to fulfill this requirement, which has to be approved by the client.",ok,adequate
13,The contractor shall apply adequate software version management for the source code files received from OEM.,ok,adequate
14,The contractor shall ensure that adequate test resources are available at least for following markets:,ok,adequate
15,Active HV components can feed in currents into the HV intermediate circuit and have an adequate control mechanism for switching off the feed-in.,defect,adequate
16,"In case of abnormal condition, the system shall provide adequate information to driver and / or service personnel.",defect,adequate
17,The containment of released gases shall be avoided by adequate battery design and integration in the vehicle.,defect,adequate
18,Scope:B-samples are functional samples which are partially suitable for vehicle operation and which guarantee adequate hardware and software operating reliability for initial tests on the test rig and in vehicle construction.,defect,adequate
19,"For an adequate assembly of the PEB into the vehicle, the coolant tubes shall be error proofed and connectable with quick-release fastener to the vehicle coolant system.",defect,adequate
20,"The component shall be able to handle at least 1,000 graphical icons (e.g. POI-symbols) simultaneously on the display and apply an adequate grouping principle if necessary.",defect,adequate
21,The microphone shall be snapped in on a small mounting plate which also acts as the microphone cover with adequate openings.,defect,adequate
22,The requirements concerning failure detection philosophy which are described in the E-Gas work group specification (see chapter `` definitions of terms '') have to be taken into account for supposed malfunctions and for the definition of adequate measures.,defect,adequate
23,"In case the OBC is limited on the frequency of the HVAC input Voltage, the OBC shall react in response to the detected fault by entering the HV Shutdown sequence or if possible reduce its input power to an adequate level.",defect,adequate
24,The filtering shall be adequate to the update rate.,defect,adequate
25,All interfaces have to be protected against contamination with adequate parts.,defect,adequate
26,The pull-off force has to be measured with adequate tooling.,defect,adequate
27,"The sensors integrated in the central unit (via electronic technology, e.g. via piezo-electronics, piezo-resistance, micromechanics etc.) for crash detection must be sensitive enough to detect collisions of the vehicle with adequate promptness.",defect,adequate
28,"If the EMM can not recognize the vehicle velocity, adequate substitute values must be used.",defect,adequate
29,"If the EMM receives no information about the state of the vehicle via CAN, the EMM shall use adequate substitute values.",defect,adequate
30,"If the EMM receives the information about an invalid Control Pilot (via the corresponding coupler states) while transferring energy, the EMM shall use adequate substitute values.",defect,adequate
31,If TBCC_Reg_Actv is 2 then the acceleration requests must be implemented by an adequate control algorithm.,defect,adequate
32,For the same video file depending on selected Language / Country the adequate audio file should be played synchronously.,defect,adequate
33,Camera hardware and image quality shall be chosen appropriately in order to be able to display objects at maximum range of the specified ODAs.,defect,appropriate
34,"If the control logic is designed appropriately, a short circuit can also be detected by the signal driver circuit.",defect,appropriate
35,"The dwell times of the measurements have to be chosen appropriately to the time constant of the tuners, amplifiers and the measurement equipment.",defect,appropriate
36,The #Elements information in ParseCtrl shall be adapted appropriately.,defect,appropriate
37,The # entries element information in ParseCtrl shall be adapted appropriately.,defect,appropriate
38,The diameters must be appropriately chosen for the currents.,defect,appropriate
39,This has to be done appropriate to the ambient light situation.,defect,appropriate
40,"If manual handling can not be eliminated in production, the supplier shall take measures appropriate to reduce the risk of damage (e.g. protected transportation trays).",ok,appropriate
41,The supplier shall take appropriate measures to reduce the risk of contamination (e.g. dust protection covers).,ok,appropriate
42,All timing aspects have to be handled appropriate to Autosar 4.2.,ok,appropriate
43,The repeated transmission of identical Object Lists shall be signalized by an identical timestamp and counted in the signal state of the appropriate signal counter (SW_CYCL).,ok,appropriate
44,This has to be done independently whether the appropriate longitudinally nearest object is located within or outside of the detection field.,ok,appropriate
45,The model shall be appropriate for packaging analysis at OEM (including use as part in the OEM Engineering Client).,ok,appropriate
46,"The component must comply with the standards appropriate to [DIN 70000]: '' Fahrzeugdynamik und Fahrverhalten, 1994 ``",ok,appropriate
47,The supplier is expected to use appropriate tools to read interface definition specifications (e.g. Enterprise Architect for UML interface definitions).,ok,appropriate
48,"The Contractor has to verify the implementation of these guidelines with appropriate methods or tools (e.g., internal code reviews).",ok,appropriate
49,The contractor shall deliver all required logical blocks and the appropriate ODX-F files according to the client 's guidelines for each sample version.,ok,appropriate
50,"Appropriate measures (return spring) must be taken to ensure that the actuator opens under the most unfavorable conditions within the defined operating range (ambient temperature, power supply voltage, dirt, intake manifold absolute pressure, backpressure).",ok,appropriate
51,The PCV actuating range may be limited to an appropriate range including `` totally open '' in order to secure save operation during actuation.,ok,appropriate
52,"Whenever an SCC internal error occured, e.g. reading NvM failed, copy of data failed or compare operation failed the SCC shall set Scc_15118SequenceOptionAttemptCtr equal 0, set the appropriate error bits as described in SCC-DIS-2438 and stop the V2G Communication Session.",ok,appropriate
53,"If required, the supplier shall be able to proof the validity of the model by appropriate measurements (impedance, S-parameters).",ok,appropriate
54,"To influence the LV output voltage depending on LV output current, an appropriate calibration parameter (`` Factor '') has to be provided.",ok,appropriate
55,The SDC shall be cooled by means of a fan and appropriate cooling fins (active air cooling).,ok,appropriate
56,"Details on replicating the installation situation (installation position, covers, trim, operating situations and in repair / maintenance) are to be proposed by the supplier and agreed on with OEM and documented in an appropriate manner (through design drawings and / or photos, for example) in the technical specification (supplier) or in the component test specification.",ok,appropriate
57,"6. For reasons of protection against physical contact and protection of the electrical terminal, an appropriate cover (e.g. in the form of a cap) must be provided over the alternating current connections.",ok,appropriate
58,"If defects in the product arise during the tests and test phases, the contractor shall coordinate appropriate actions with the client.",ok,appropriate
59,The safety requirements are described in the chapter `` Function description '' and are linked with the appropriate safety goals in the chapter `` Safety Goals from the Hazard and Risk Analysis ''.,ok,appropriate
60,"The system shall set the value of the `` HU_Start '' signal to the appropriate value (see [KMATRIX_HU]), when the user starts the selected Active Comfort program.",ok,appropriate
61,The ACCSW shall set the appropriate values of the `` AK_Sel... '' signals according to the `` Program Configuration ''.,ok,appropriate
62,"If a precondition check is negative, the ACCSW shall set the appropriate value in the AK_Hinweis signal (see IF1 specification `` getUnfulfilledRequirements '').",ok,appropriate
63,When accepted COMAND display must trigger an appropriate action which is defined outside of the VC.,ok,appropriate
64,"Real collision objects have to be selected and labeled, depending on the object position, with the appropriate DTR_Obj_x_PreSelect.",ok,appropriate
65,The sensor shall label the detected objects which fulfill the qualification criteria (valid status DTR_Obj_x_PreSelect possible) for oncoming traffic out of the object list with the appropriate status of DTR_Obj_x_xxxQual.,ok,appropriate
66,The contractor shall supply OEM with the appropriate documentation for the low level debug interface.,ok,appropriate
67,"Therefore, each application that uses LVDS should also refer to the appropriate protocol and interconnect standard.",ok,appropriate
68,Remark: The appropriate MOST message will be defined later.,ok,appropriate
69,The gear recognition is made possible by the determination of the control shaft angle plus the appropriate 2D sensing of the control shaft.,ok,appropriate
70,On demand the client shall be provided with the appropriate documentation.,ok,appropriate
